,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
1083,6,180,FRE,58.664,841,A,19,W,4130,9.65,67.44,6.51,7,TUE,FEB,W,3294,9.29,55.88,5.19,16,WED,OCT
1084,6,180,FRE,62.893,706,B,19,W,5506,9.83,67.83,6.67,7,TUE,SEP,E,4609,9.28,60.15,5.58,17,TUE,APR
1085,6,180,FRE,66.023,707,A,20,W,2056,9.78,65.39,6.4,7,WED,OCT,E,1995,10.04,61.82,6.21,17,FRI,NOV
1086,6,180,FRE,71.334,871,A,20,W,824,9.67,58.11,5.62,7,THU,NOV,E,841,10.07,56.98,5.74,16,FRI,NOV
1087,6,180,FRE,87.706,552,B,19,E,322,11.17,70,7.82,9,SAT,SEP,E,383,12.26,75.84,9.3,17,THU,SEP
1088,6,180,FRE,87.706,553,A,19,E,280,9.52,65.57,6.24,11,SAT,JUN,W,323,10.08,71.46,7.2,16,SUN,JUN
1089,6,180,FRE,94.78,979,A,19,E,214,16.32,75.09,12.26,10,SAT,JUN,W,252,17.81,81.03,14.43,16,SAT,SEP
1090,9,182,MNO,0,950,A,20,N,89,16.26,53.29,8.67,12,THU,JUL,N,90,17.24,50.85,8.76,13,SUN,JUL
1091,9,182,MNO,5.22,514,A,20,N,39,19.44,50.65,9.85,10,SAT,JUL,S,40,17.93,56.34,10.1,13,WED,JUL
1092,9,182,MNO,12.651,979,B,20,N,37,13.58,71.15,9.66,11,SUN,JUN,N,39,18.28,55.71,10.18,16,FRI,JUN
1093,5,183,MON,9.98,284,B,20,N,667,7.26,75.71,5.5,6,MON,NOV,S,629,7.38,70.28,5.18,16,WED,NOV
1094,6,184,KER,0,123,A,18,S,376,10.41,88.06,9.17,6,TUE,JAN,N,322,10.92,71.88,7.85,14,TUE,JUL
1095,6,184,KER,2.035,124,B,18,N,793,8.24,54.46,4.49,12,SUN,OCT,N,927,9.89,53,5.24,17,FRI,OCT
1096,6,184,KER,9.6,125,B,18,N,817,9.73,60.16,5.85,7,THU,OCT,N,774,9.9,56.05,5.55,17,THU,OCT
1097,6,184,KER,12.031,849,B,20,N,314,18.9,57.3,10.83,7,WED,FEB,N,256,14.42,61.24,8.83,13,WED,APR
1098,11,186,IMP,2.07,943,B,20,S,606,14.43,73.81,10.65,8,TUE,MAR,N,511,15.13,59.35,8.98,13,TUE,MAR
1099,11,188,SD,1.85,950,B,19,N,544,8.15,89.03,7.25,6,FRI,FEB,S,592,10.69,73.82,7.89,16,FRI,OCT
1100,6,190,TUL,0,28,A,20,W,219,8.93,60.33,5.39,5,WED,SEP,E,241,10.8,54.9,5.93,16,THU,SEP
1101,6,190,TUL,9.474,13,A,20,W,363,11.06,64.25,7.1,6,MON,OCT,E,362,11.47,61.78,7.08,16,THU,JAN
1102,6,190,TUL,9.474,3,B,20,E,224,9.97,64,6.38,6,THU,OCT,E,214,10.4,58.63,6.1,16,FRI,JAN
1103,6,190,TUL,15.212,14,B,20,W,542,8.96,67.58,6.06,6,WED,OCT,E,580,11.36,57.09,6.48,15,TUE,OCT
1104,6,190,TUL,15.95,200,B,20,E,1223,9.33,53.34,4.97,7,THU,OCT,W,1305,10.49,50.62,5.31,15,TUE,OCT
1105,6,190,TUL,16.452,126,B,20,E,1372,10.87,61.42,6.67,7,TUE,OCT,E,1200,10.25,56.95,5.84,17,TUE,OCT
1106,6,190,TUL,16.967,17,A,20,E,537,8.55,63.63,5.44,12,TUE,JUL,E,561,7.77,73.14,5.68,18,FRI,OCT
1107,6,190,TUL,22.55,628,A,20,W,409,9.84,73.3,7.21,7,TUE,JAN,E,349,8.96,68.7,6.15,16,MON,JAN
1108,6,190,TUL,32.704,127,A,20,E,113,18.7,62.43,11.67,11,SAT,JUL,W,150,19.32,80.21,15.5,17,SUN,JUL
1109,9,190,INY,9.85,904,A,20,W,19,14.72,79.17,11.66,11,SAT,DEC,W,17,14.11,73.91,10.43,16,THU,DEC
1110,9,190,INY,24.55,515,B,20,E,23,25.44,53.49,13.61,11,THU,MAR,E,30,23.67,75,17.75,15,FRI,MAR
1111,9,190,INY,24.55,918,A,20,E,52,23.34,70.27,16.4,11,TUE,OCT,W,57,29.65,60.64,17.98,13,FRI,OCT
1112,9,190,INY,99.77,901,A,20,W,111,29.68,53.88,15.99,11,TUE,MAR,E,172,47.84,51.81,24.78,14,SUN,FEB
1113,9,190,INY,140.692,926,B,20,W,148,20.78,79.57,16.54,10,FRI,NOV,E,169,22.46,84.08,18.88,16,MON,DEC
1114,3,191,BUT,0,881,A,20,N,393,15.71,72.51,11.39,7,MON,OCT,S,320,14.43,64.26,9.27,15,THU,JAN
1115,5,192,SB,0.019,102,A,18,E,1215,10.95,93.82,10.28,8,THU,SEP,E,1238,11.08,94.5,10.47,16,FRI,SEP
1116,3,193,PLA,3,894,B,18,W,715,10.17,64.82,6.59,7,THU,SEP,E,727,11.22,59.74,6.7,17,WED,SEP
