,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
953,6,137,TUL,20.461,32,A,20,W,579,9.25,59.45,5.5,12,SUN,NOV,W,583,9.95,55.63,5.53,16,THU,NOV
954,6,137,TUL,27.396,98,B,20,W,577,7.85,62.58,4.91,11,SUN,NOV,E,588,8.37,59.88,5.01,14,SUN,FEB
955,8,138,SBD,6.662,963,B,22,E,1315,8.35,60.82,5.08,12,SAT,JUN,E,1318,7.97,63.89,5.09,14,SAT,JUN
956,8,138,SBD,15.203,964,B,22,E,1323,7.38,72.22,5.33,6,MON,APR,E,1212,8.07,60.51,4.88,14,SUN,JUL
957,2,139,MOD,0.231,228,A,20,S,63,13.03,50.4,6.57,10,THU,AUG,N,67,13.24,52.76,6.99,15,WED,AUG
958,10,140,MER,16.22,21,A,22,W,213,9.04,53.79,4.86,7,THU,OCT,E,281,9.89,64.9,6.42,18,FRI,OCT
959,10,140,MER,16.22,61,B,22,W,205,7.58,59.94,4.54,11,SAT,FEB,E,270,10.44,57.33,5.98,15,FRI,SEP
960,10,140,MPA,22.001,187,A,20,W,244,11.04,52.47,5.79,8,THU,OCT,W,291,12.22,56.51,6.91,16,FRI,NOV
961,6,145,FRE,0,193,A,22,N,173,8.64,76.55,6.61,6,MON,APR,S,165,10.13,62.26,6.31,15,FRI,APR
962,6,145,FRE,35.149,47,A,22,S,380,7.6,58.82,4.47,6,TUE,JAN,S,494,11.01,52.83,5.81,16,FRI,OCT
963,6,145,MAD,6.06,245,A,22,S,522,10.86,79.09,8.59,6,THU,JAN,N,509,12,69.82,8.38,15,WED,MAY
964,6,145,MAD,8.06,99,A,22,S,632,6.55,68.55,4.49,6,MON,JAN,N,910,10.76,60.07,6.46,15,WED,JAN
965,6,145,MAD,9.68,100,A,22,S,706,7.66,63.6,4.87,7,THU,APR,N,775,9.58,55.84,5.35,16,TUE,OCT
966,6,145,MAD,11.02,417,B,22,S,557,7.88,65.92,5.19,7,FRI,APR,N,496,8.29,55.79,4.62,16,WED,APR
967,3,149,BUT,0,791,A,20,S,1194,11.78,51.71,6.09,7,TUE,JAN,S,1140,10.95,53.12,5.82,17,THU,FEB
968,2,151,SHA,0,381,A,21,E,36,22.9,52.94,12.12,12,SUN,FEB,W,44,27.27,54.32,14.81,13,SAT,FEB
969,2,151,SHA,3.781,149,A,21,W,100,12.81,50.76,6.5,12,THU,SEP,E,117,11.7,65,7.61,17,THU,AUG
970,5,152,SCR,8.29,60,O,22,W,682,14.86,66.67,9.91,12,SAT,AUG,E,671,13.86,70.34,9.75,16,SUN,AUG
971,4,152,SCL,0,60,O,22,W,682,14.86,66.67,9.91,12,SAT,AUG,E,671,13.86,70.34,9.75,16,SUN,AUG
972,4,152,SCL,5.03,210,A,22,W,1063,20.97,75.34,15.8,12,SAT,AUG,W,970,19.45,74.1,14.42,15,SAT,AUG
973,4,152,SCL,21.977,427,A,22,W,1971,8.49,55.13,4.68,12,SAT,AUG,W,2200,8.66,60.32,5.23,16,FRI,MAY
974,4,152,SCL,21.977,61,B,22,W,1156,8.52,50.84,4.33,12,SAT,AUG,E,1488,7.87,70.82,5.57,16,FRI,FEB
975,4,152,SCL,26.309,907,A,22,E,2032,9.08,54.95,4.99,12,WED,NOV,E,2190,7.76,69.26,5.38,19,FRI,MAY
976,6,152,MAD,1.07,502,B,22,W,804,8.07,63.51,5.13,9,SAT,AUG,W,743,8.47,55.91,4.74,15,SAT,NOV
977,6,152,MAD,1.07,152,A,22,W,769,8.45,58.75,4.96,12,SAT,OCT,E,752,8.52,56.93,4.85,16,FRI,OCT
978,6,152,MAD,12.355,103,O,22,W,765,7.49,65.89,4.93,10,FRI,JUL,E,702,8.43,53.71,4.53,14,FRI,JUL
979,5,154,SB,24.4,514,A,22,W,966,9.62,69.35,6.67,10,SAT,JUL,W,964,9.77,68.13,6.66,18,FRI,SEP
980,6,155,KER,1.46,555,B,22,E,457,11.49,87.55,10.06,6,TUE,NOV,W,351,12.04,64.17,7.73,15,TUE,SEP
981,6,155,KER,60.637,157,B,21,W,94,8.98,61.44,5.52,7,WED,SEP,E,97,10.75,53.01,5.7,14,WED,SEP
982,5,156,SBT,0,249,A,22,W,1330,8.14,63.03,5.13,7,MON,MAY,W,1103,7.38,57.66,4.25,13,SAT,JAN
983,5,156,SBT,18.43,712,B,20,W,908,7.03,84.54,5.94,5,MON,AUG,E,989,10.85,59.65,6.47,15,FRI,SEP
984,4,156,SCL,0.664,361,B,22,E,922,7.27,80.45,5.85,6,MON,MAY,E,931,9.33,63.25,5.9,17,FRI,AUG
985,9,158,MNO,3.86,503,B,22,N,165,18.05,58.51,10.56,12,MON,FEB,S,201,17.67,72.83,12.87,15,SAT,FEB
986,9,158,MNO,15.835,947,B,22,N,65,26.02,63.73,16.58,11,SUN,JUN,S,71,30.1,60.17,18.11,16,FRI,OCT
987,3,160,SAC,5.95,816,A,20,N,213,7.62,57.41,4.37,11,SAT,OCT,S,394,11.84,68.28,8.09,17,SUN,OCT
988,3,160,SAC,21.1,820,B,20,S,179,10.57,62.59,6.61,7,MON,JAN,N,253,16.25,57.5,9.35,16,FRI,JAN
989,3,160,SAC,46.581,830,B,22,S,1593,8.24,59.46,4.9,7,THU,MAR,N,2398,11.57,63.74,7.38,16,WED,OCT
990,2,161,SIS,0.037,151,A,20,W,42,10.02,71.19,7.13,12,WED,OCT,E,37,7.13,88.1,6.28,20,FRI,NOV
991,2,161,SIS,19.361,152,B,20,W,70,12.17,55.56,6.76,12,THU,NOV,E,67,11.11,58.26,6.47,16,TUE,AUG
992,1,162,MEN,1.91,715,A,21,W,80,10.34,60.61,6.26,5,FRI,JUL,W,81,11.83,53.64,6.34,16,WED,SEP
993,3,162,GLE,45.117,914,B,22,W,36,14.15,78.26,11.08,9,SAT,NOV,E,34,15.08,69.39,10.46,14,SAT,NOV
