,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
1157,6,216,TUL,2.46,171,A,21,W,254,11.93,55.95,6.67,11,SUN,FEB,E,216,9.75,58.22,5.67,16,FRI,MAR
1158,6,216,TUL,11.732,831,B,20,W,248,9.45,58.91,5.57,7,THU,OCT,E,256,9.86,58.31,5.75,17,MON,JAN
1159,6,216,TUL,14.006,143,B,20,W,264,6.66,68.93,4.59,6,MON,OCT,E,329,10.24,55.86,5.72,15,THU,OCT
1160,6,216,TUL,14.006,144,A,20,W,244,8.66,57.68,4.99,7,MON,OCT,E,274,10.07,55.69,5.61,17,THU,OCT
1161,6,216,TUL,19.245,145,B,20,E,90,11.48,64.29,7.38,12,SUN,JUL,W,97,12.13,65.54,7.95,17,SUN,JUL
1162,5,217,SB,0.464,126,A,20,W,1032,14.12,80.56,11.38,9,WED,NOV,E,1055,16.83,69.14,11.63,17,MON,FEB
1163,3,220,SAC,3.114,922,B,20,W,66,12.26,78.57,9.64,5,FRI,JUL,E,70,15.77,64.82,10.22,15,FRI,APR
1164,1,222,MEN,0.96,733,A,21,W,320,8.76,54.33,4.76,12,SAT,SEP,W,354,10.52,50.07,5.27,15,MON,DEC
1165,6,223,KER,1.85,161,A,21,W,112,9.21,76.71,7.06,5,THU,SEP,E,138,11.79,73.8,8.7,15,FRI,JUN
1166,6,223,KER,10.509,401,B,21,W,344,8.98,76.28,6.85,6,TUE,DEC,E,391,10.89,71.48,7.79,14,MON,JUN
1167,6,223,KER,10.536,223,A,21,W,375,6.37,70.89,4.52,5,TUE,SEP,E,422,9.12,55.75,5.08,14,THU,JUN
1168,6,223,KER,10.94,146,A,21,W,315,7.84,52.5,4.11,7,MON,SEP,W,376,8.75,56.12,4.91,16,TUE,SEP
1169,6,223,KER,16.014,225,A,21,W,396,6.48,63.77,4.13,11,SUN,SEP,E,458,7.33,65.15,4.78,17,WED,DEC
